freq_hz,pin_dbm,r_load,vrect_avg,vout_avg,pce
30000000.0,0,1000.0,1.808531,0.1468297,0.02155896080209
30000000.0,0,3000.0,1.814395,0.3324639,0.03684408160107
30000000.0,0,10000.0,1.825174,0.6803632,0.046289408391423995
30000000.0,0,30000.0,1.836905,1.159598,0.04482225072013333
30000000.0,0,100000.0,1.845379,1.46143,0.021357776449
30000000.0,0,300000.0,1.848732,1.546229,0.007969413734803334
30000000.0,0,1000000.0,1.849949,1.576486,0.0024853081081959998
30000000.0,0,3000000.0,1.850337,1.585489,0.0008379251230403332
30000000.0,0,10000000.0,1.850479,1.588541,0.0002523462508681
45000000.0,0,1000.0,1.805755,0.1705296,0.02908034447616
45000000.0,0,3000.0,1.812976,0.3878707,0.05014789330616333
45000000.0,0,10000.0,1.827157,0.7990846,0.06385361979571601
45000000.0,0,30000.0,1.840144,1.257786,0.05273418739320001
45000000.0,0,100000.0,1.84856,1.463162,0.021408430382440002
45000000.0,0,300000.0,1.851526,1.526161,0.007763891326403333
45000000.0,0,1000000.0,1.852603,1.548754,0.002398638952516
45000000.0,0,3000000.0,1.852919,1.555238,0.0008062550788813332
45000000.0,0,10000000.0,1.853029,1.557506,0.00024258249400360002
60000000.0,0,1000.0,1.802714,0.1926726,0.03712273079076
60000000.0,0,3000.0,1.811861,0.4383438,0.06404842899948
60000000.0,0,10000.0,1.828495,0.8890992,0.07904973874406399
60000000.0,0,30000.0,1.842331,1.27969,0.05458688320333333
60000000.0,0,100000.0,1.850376,1.445042,0.02088146381764
60000000.0,0,300000.0,1.853069,1.495923,0.0074592854064299986
60000000.0,0,1000000.0,1.854036,1.514189,0.002292768327721
60000000.0,0,3000000.0,1.854322,1.519402,0.0007695274792013332
60000000.0,0,10000000.0,1.854402,1.521245,0.0002314186350025
